CantoChorID#,1.Meter,2.No of beats,3.Beat sub-division ,4. No. of sub-beats,5.Syncopation,6.Motivic redundancy ,7.Durational variability ,8.Tonality,9. Mode,10.No. of scale degrees ,11.Hemitonicity ,12.Maximum interval size ,13.Melodic range ,14.Melodic contour ,15.Melisma ,16.Vocables,17. Number of vocal parts ,18.Rhythmic texture ,19.Harmonic interval ,20.Relative contour ,21.Phrase repetition ,22.Phrase length,23.Phrase symmetry,24.Solo/group arrangement ,25.Responsorial relationship ,26. Phrase overlap,5,6,23,24,25,26,28,30,31,32,33,34,35,36,37,Instrument?,"Instruments (a=aerophone,c=chordophone,i=i,m=membranophone)",Function,Ritual,Function notes,Nothing
82,d,a,c,b,0,1,0.5,e,e,0.5,b,0.5,0.5,cf,0,0,1,c,1,ca,1,0.5,0,b,c,0.5,0.75,1,1,0.6,0.5,1,0.666666667,1,1,0.5,0.666666667,0.75,1,0.5,0.5,N,,Unknown,Unknown,,
83,d,a,c,b,0,1,0.5,e,e,0.5,b,0.5,0.5,f,0.5,0,1,c,1,ca,0.5,1,0,c,a,,0.75,1,1,0.6,0.5,1,0.666666667,1,1,0.625,0.666666667,0.75,1,0.5,0.5,N,,Unknown,Unknown,,
85,d,a,c,a,0,1,0.5,e,e,0.5,b,0.5,1,fc,0.5,0,1,c,1,ca,1,0.5,0,db,a,,0.75,1,1,0.8,0.5,1,0.666666667,1,1,0.5,0.666666667,0.5,1,0.5,0.5,N,,Unknown,Unknown,,
88,d,a,c,a,0,1,0,e,e,0.5,b,0.5,1,fe,0,0,1,c,1,c,1,0.5,0,db,a,,0.75,0.75,1,0.6,0.25,1,0.666666667,1,1,0.5,0.666666667,0.5,1,0.75,0.5,N,,Unknown,Unknown,,
89,a,,,,,1,0,e,e,0.5,b,0,0,a,0.5,1,1,ca,1,c,1,0.5,0,c,c,0.5,0.75,0.5,1,0,0.25,0,1,1,1,0.5,0.666666667,0.75,1,1,0.5,N,,Ceremonial,Unknown,,
204,a,,,,,0,0,e,e,0.5,b,0,0,a,0,1,1,a,0,a,1,1,0,c,c,1,0.5,0.25,1,0,0.5,0,0.333333333,1,1,0.5,0.666666667,0.5,0.75,1,1,N,,,,,
205,a,,,,,0,0,ba,,,,0,1,ba,0,1,1,a,0,ac,0,1,0,d,a,,1,0.25,1,0,0.5,0,1,1,1,0.5,0.666666667,1,1,1,1,N,,,,,
206,b,,,,0,1,0.5,e,e,0.5,b,0.5,0.5,fc,0.5,1,1,c,1,ca,0,1,0.5,cd,a,,0.75,0.75,1,0.6,0.75,0,0.333333333,1,1,0.5,0.5,0.25,0.5,0.75,1,N,,,,,
207,d,a,c,b,0,1,0.5,e,e,0.5,b,0.5,1,ef,0.5,0,1,cb,1,ca,1,0,0,b,c,0.5,0.75,0.75,1,0.4,0.5,0.666666667,0.333333333,1,1,0.5,0.5,0.25,0.5,0.75,1,N,,,,,
208,bd,a,c,b,0,1,0.5,e,e,0.5,a,0.5,1,cf,0.5,0.5,1,c,1,ca,1,0.5,0,db,b,0.5,0.75,0.75,1,0.6,0.5,0.666666667,0.333333333,1,1,0.5,0.5,0.25,0.5,0.75,0.75,N,,,,,
4,a,,,,,0,0,e,e,0.5,b,0.5,0.5,f,0,0.5,0.5,c,1,c,1,1,0,bd,a,,0.75,0.5,1,0,0.25,0,0.666666667,1,1,0.5,0.666666667,1,1,1,0.75,N,,Ceremonial,Calendrical,,
7,a,,,,,1,0.5,e,e,0.5,b,0.5,1,cf,0.5,1,0.5,c,1,ca,0.5,1,0.5,db,a,,0.75,0.75,1,0.4,0.25,0.666666667,0.666666667,1,1,0.5,0.666666667,1,1,0.75,0.75,N,,Love,Non-ritual,,
52,a,,,,,0.5,0.5,e,e,0.5,b,0.5,1,cf,0.5,1,0.5,c,1,ca,0.5,1,0,cd,a,,0.75,0.75,0.75,0.4,0.75,0.666666667,0.666666667,1,1,0.375,0.333333333,0.25,0.25,0.25,0.25,N,,Drinking,Non-ritual,,
56,d,a,c,b,0,1,0.5,e,e,0.5,b,0.5,1,e,0.5,0,1,c,1,ca,1,0.5,0,b,c,0.5,0.75,0.75,1,0.4,0.375,0.666666667,0.666666667,1,1,0.5,0.333333333,0.375,0.375,0.625,0.5,N,,Ceremonial,Other,,
53,d,a,c,b,0,1,0.5,e,e,0.5,b,0.5,0.5,f,0.5,0,1,c,1,ca,1,0.5,0,b,a,,0.75,0.75,1,0.6,0.375,0.666666667,0.666666667,1,1,0.5,0.333333333,0.25,0.25,0.5,0.5,N,,Ceremonial,Healing,,
54,d,a,c,b,0,1,0.5,e,e,0.5,b,0.5,1,f,0.5,0,1,c,1,ca,1,0.5,0,db,a,,0.5,1,1,0.6,0.5,0.666666667,0.666666667,1,0.5,0.5,0.166666667,0.375,0.5,0.5,0.5,N,,Ceremonial,Other,,
5,a,,,,,1,0.5,e,e,0.5,b,0.5,1,f,0.5,0,1,c,1,ca,1,1,0,b,c,0,0.75,1,1,0.4,0.25,0.666666667,0.666666667,1,1,0.5,0.666666667,1,1,0.75,0.75,N,,Ceremonial,Other,Call back the soul to this world,
6,d,a,c,b,0,0.5,0.5,e,e,0.5,b,0.5,0.5,c,0.5,0,1,c,1,ca,1,1,0,b,c,0.5,0.75,1,0.5,0.2,0.25,0.666666667,0,1,1,0.75,0.333333333,0.5,1,0.75,0.75,N,,Drinking,Non-ritual,,
57,a,,,,,0,0,e,e,0,b,0,0,a,0,1,1,ac,0,ca,1,1,0,cd,c,1,0.75,0.75,1,0.2,0.5,0,0.666666667,1,1,0.5,0.333333333,0.5,0.375,0.75,1,N,,Ceremonial,Other,,
2,a,,,,,0,0,ba,,,,0,0,ab,0,1,1,a,0,ac,0,1,0,cd,a,,1,0,1,0,0.25,0,0,0.5,1,0.5,0.666666667,1,0.75,1,1,N,,Ceremonial,Calendrical,,
3,a,,,,,0,0,d,,,,0,0,a,0,1,0.5,a,1,c,1,0.5,0,cd,a,,1,0.5,1,0,0.5,0,0,1,1,0.5,0.333333333,0.5,1,1,1,N,,Ceremonial,Other,Hunting (shoot deer ears),
59,a,,,,,0,0,ba,,,,0,0,ab,0,1,1,a,1,ca,0,1,0,d,a,,0.75,0.5,1,0,0.375,0,0,1,1,0.625,0.666666667,0.5,0.5,1,1,N,,Ceremonial,Calendrical,,
778,d,a,c,a,0.5,1,0,e,a,0.5,b,0.5,0.5,fa,0.5,1,0,,,,0.5,0.5,0.5,d,a,,1,0.75,0.5,0.6,0.25,0.666666667,1,0.5,1,0.5,0.666666667,0.75,1,0.75,0.5,N,,,,,
806,d,a,c,a,0,1,0,e,d,0.5,b,0.5,0.5,ef,0.5,1,0,,,,1,0.5,0.5,d,a,,1,0.75,0.75,0.8,0.25,1,1,0.5,1,0.5,0.666666667,0.75,1,0.75,0.5,N,,,,,
623,d,a,c,a,0,1,0.5,e,d,0.5,b,0.5,0.5,f,0.5,0.5,0,,,,0.5,0.5,0,d,a,,1,0.75,0.75,0.8,0.25,1,1,0.5,1,0.5,0.666666667,0.75,1,0.75,0.5,N,,,,,
823,d,a,c,a,0,1,0.5,e,e,0.5,b,0.5,0.5,e,0.5,0.5,0,,,,1,0.5,0,d,a,,1,0.75,0.75,0.8,0.25,0.666666667,0.666666667,0.5,1,0.5,0.666666667,0.75,1,0.75,0.5,N,,,,,
757,d,a,c,a,0.5,1,0,e,d,0.5,b,0.5,0.5,fe,1,1,0,,,,0.5,0.5,0,d,a,,1,0.75,0.5,0.4,0.25,0,0.666666667,0.5,1,0.5,0.666666667,0.75,1,0.75,0.5,N,,,,,
644,d,a,c,a,0,1,0.5,e,d,0.5,b,0.5,0.5,f,0.5,1,0,,,,0.5,0.5,0,d,a,,1,0.75,0.75,0.4,0.25,0.666666667,0.666666667,0.5,1,0.5,0.666666667,0.75,1,0.75,0.5,N,,,,,
646,d,a,c,a,0,1,0.5,e,d,0,b,0.5,0,e,0.5,0,0,,,,0.5,0.5,0,c,c,0,1,0.75,0.5,0.4,0.25,0,0.333333333,0.5,1,0.5,0.666666667,0.75,1,0.75,0.5,N,,,,,
148,b,,,,,1,0,e,b,1,a,0.5,0.5,af,0.5,0,0.5,c,1,a,1,1,1,cb,c,0,0.75,1,0.75,0.6,0.25,0.333333333,1,1,1,0.5,0.333333333,1,1,0.5,0.5,N,,Improvisation,Non-ritual,,
149,b,,,,,0.5,0,c,,,,0.5,0.5,af,0.5,0,0.5,c,1,a,0.5,1,0.5,bdc,a,,0.75,1,0.5,0.6,0.25,0.333333333,0.666666667,1,1,0.5,0.333333333,1,1,0.5,0.5,N,,Other,Non-ritual,,
